TRUNK TYPE,DEVICE PROTOCOL,DEVICE NAME,DESCRIPTION,DEVICE POOL,COMMON DEVICE CONFIGURATION,CALL CLASSIFICATION,MEDIA RESOURCE GROUP LIST,LOCATION,AAR GROUP,PACKET CAPTURE MODE,PACKET CAPTURE DURATION,MEDIA TERMINATION POINT REQUIRED,RETRY VIDEO CALL AS AUDIO,TRANSMIT UTF-8 FOR CALLING PARTY NAME,UNATTENDED PORT,SRTP ALLOWED,USE TRUSTED RELAY POINT,INCOMING CALLING PARTY NATIONAL NUMBER PREFIX,INCOMING CALLING PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLING PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLING PARTY SUBSCRIBER NUMBER PREFIX,MLPP DOMAIN,MLPP INDICATION,REMOTE-PARTY-ID,ASSERTED-IDENTITY,ASSERTED-TYPE,SIP PRIVACY,CALLING SEARCH SPACE,AAR CALLING SEARCH SPACE,CALLED PARTY TRANSFORMATION CSS,USE DEVICE POOL CALLED PARTY TRANSFORMATION CSS,CALLING PARTY TRANSFORMATION CSS,USE DEVICE POOL CALLING PARTY TRANSFORMATION CSS,PRESENCE GROUP,SIP TRUNK SECURITY PROFILE,REROUTING CALLING SEARCH SPACE,OUT-OF-DIALOG REFER CALLING SEARCH SPACE,SUBSCRIBE CALLING SEARCH SPACE,SIP PROFILE,DTMF SIGNALING METHOD,GEO LOCATION,GEO LOCATION FILTER,SEND GEO LOCATION INFORMATION,INCOMING CALLINGPARTYNATIONALNUM DIGITSTOSTRIP,INCOMING CALLINGPARTYINTERNATIONALNUMDIGITSTOSTRIP,INCOMING CALLINGPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLINGPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLINGPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLINGPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,USE DEVPOOL CALLINGPARTYTRANSFORMCSS NATIONAL,USE DEVPOOL CALLINGPARTYTRANSFORMCSS INTNATIONAL,USE DEVPOOL CALLINGPARTYTRANSFORMCSS UNKNOWN,USE DEVPOOL CALLINGPARTYTRANSFORMCSS SUBSCRIBE,PSTN ACCESS,E.164 TRANSFORMATION PROFILE,INCOMING CALLED PARTY NATIONAL PREFIX,INCOMING CALLED PARTY INTERNATIONAL PREFIX,INCOMING CALLED PARTY UNKNOWN PREFIX,INCOMING CALLED PARTY SUBSCRIBER PREFIX,INCOMING CALLED PARTY NATIONAL STRIP DIGITS,INCOMING CALLED PARTY INTERNATIONAL STRIP DIGITS,INCOMING CALLED PARTY UNKNOWN STRIP DIGITS,INCOMING CALLED PARTY SUBSCRIBER STRIP DIGITS,INCOMING CALLED PARTY TRANS CSS NATIONAL NUM,INCOMING CALLED PARTY TRANS CSS INTERNATIONAL NUM,INCOMING CALLED PARTY TRANS CSS UNKNOWN NUM,INCOMING CALLED PARTY TRANS CSS SUBSCRIBER NUM,RUN ON ALL ACTIVE UNIFIED CM NODES,USE DEVICE POOL REDIRECTING PARTY TRANSFORMATION CSS,REDIRECTING PARTY TRANSFORMATION CSS,USE DEVPOOL CALLEDPARTYTRANSFORMCSS UNKNOWN,ENABLE CISCO RECORDING QSIG TUNNELING,ALLOW THIS TRUNK TO USE REMOTE GATEWAYS FOR RECORDING,CONFIDENTIAL ACCESS MODE,CONFIDENTIAL ACCESS LEVEL,TRUST RECEIVED IDENTITY,TUNNELED PROTOCOL(H323DEVICE),WAIT FOR FAR END H.245 TERMINAL CAPABILITY SET,PATH REPLACEMENT SUPPORT(H323DEVICE),SIGNIFICANT DIGITS(H323DEVICE),PREFIX DN,REDIRECTING NUMBER IE DELIVERY-INBOUND(H323DEVICE),ENABLE INBOUND FASTSTART,CALLING PARTY SELECTION(H323DEVICE),CALLING LINE ID PRESENTATION,CALLED PARTY IE NUMBER TYPE UNKNOWN,CALLING PARTY IE NUMBER TYPE UNKNOWN,CALLED NUMBERING PLAN,CALLING NUMBERING PLAN,CALLER ID DN(H323DEVICE),DISPLAY IE DELIVERY,REDIRECTING NUMBER IE DELIVERY-OUTBOUND,ENABLE OUTBOUND FASTSTART,CODEC FOR OUTBOUND FASTSTART,GATEKEEPER NAME,TERMINAL TYPE,TECHNOLOGY PREFIX,ZONE,PASSING PRECEDENCE LEVEL THROUGH UUIE,SECURITY ACCESS LEVEL,ENABLE SAF,QSIG VARIANT(H323DEVICE),ASN.1 ROSE OID ENCODING(H323DEVICE),USE DEVICE POOL CONNECTED PARTY TRANSFORMATION CSS(H323 DEVICE),CONNECTED PARTY TRANSFORMATION CSS(H323 DEVICE),CONNECT INBOUND CALL BEFORE PLAYING ANNOUNCEMENT,SIGNIFICANT DIGITS(SIPDEVICE),REDIRECTING NUMBER IE DELIVERY-INBOUND(SIPDEVICE),CONNECTED LINE ID PRESENTATION,CONNECTED NAME PRESENTATION,REDIRECTING DIVERSION HEADER DELIVERY-INBOUND,CALLING PARTY SELECTION(SIPDEVICE),CALLER ID DN(SIPDEVICE),CALLING NAME PRESENTATION,CALLER NAME,REDIRECTING DIVERSION HEADER DELIVERY-OUTBOUND,MTP PREFERRED ORIGINATING CODEC,ROUTE CLASS SIGNALING ENABLED,TRUNK SERVICE TYPE,USE INTERCOMPANY MEDIA SERVICE PUBLIC IP/PORT,PREFIX DN(SIPDEVICE),CALLING LINE ID PRESENTATION(SIPDEVICE),USE DEVICE POOL CONNECTEDPARTYTRANSFORMATIONCSS,CONNECTED PARTY TRANSFORMATION CSS,ASN.1 ROSE OID ENCODING(SIPDEVICE),QSIG VARIANT(SIPDEVICE),TUNNELED PROTOCOL(SIPDEVICE),PATH REPLACEMENT SUPPORT(SIPDEVICE),NORMALIZATION SCRIPT NAME,NORMALIZATION SCRIPT PARAMETERS,NORMALIZATION SCRIPT TRACE,TRANSMIT UTF-8 NAMES IN QSIG APDU(SIPDEVICE),CONSIDER TRAFFIC ON THIS TRUNK SECURE,SERVICE,PARAMETER LABEL,ORIGINATING PARAMETER VALUE,TERMINATING PARAMETER VALUE,OUTBOUND URI ROUTING INSTRUCTIONS,REQUEST URI DOMAIN NAME,MAINTAIN ORIGINAL CALLER ID DN AND CALLER NAME IN IDENTITY HEADERS,ISANONYMOUS,USE ORIGINAL CALLING LINE ID PRESENTATION FOR DIVERTED CALLS,DESTINATION ADDRESS 1,DESTINATION ADDRESS IPV6 1,DESTINATION PORT 1,DESTINATION ADDRESS 2,DESTINATION ADDRESS IPV6 2,DESTINATION PORT 2,DESTINATION ADDRESS 3,DESTINATION ADDRESS IPV6 3,DESTINATION PORT 3,DESTINATION ADDRESS 4,DESTINATION ADDRESS IPV6 4,DESTINATION PORT 4,SERVER IP ADDRESS/HOST NAME 1
SIP Trunk,SIP,CDPTTPR29-SIP-TRUNK,SIP Trunk CMS Panamá,DP_CMS_Panama,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,t,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,SIP security profile for CMS - Encrytped,NULL,NULL,NULL,SIP profile for CMS,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,cisco-meeting-server-interop,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,CDPTTPR29.caf.com,,5061,,,,,,,,,,
SIP Trunk,SIP,CDPTTPR24-SIP-TRUNK,SIP Trunk to Expressway Core MRA/B2B Panama,DP_Expressway,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,t,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,SIP Trunk Profile for Expressway,NULL,NULL,NULL,Standard SIP Profile For Cisco Expressway B2B,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,f,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,t,Default,Default,t,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,cdpttpr24.caf.com,,5061,,,,,,,,,,
SIP Trunk,SIP,CDPTTPR25-SIP-TRUNK,SIP Trunk to Expressway Core Hybrid Calls Panama,DP_Expressway,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,SIP Trunk Profile for Cisco Hybrid Call Service,NULL,NULL,NULL,Standard SIP Profile For Cisco Hibrid Call Service,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,CDPTTPR25.caf.com,,5061,,,,,,,,,,
SIP Trunk,SIP,NAPTTPR29-SIP-TRUNK,SIP Trunk CMS Miami,DP_CMS,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,t,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,SIP security profile for CMS - Encrytped,NULL,NULL,NULL,SIP profile for CMS,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,cisco-meeting-server-interop,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,NAPTTPR29.caf.com,,5061,,,,,,,,,,
SIP Trunk,SIP,PERTTPR01-SIP-TRUNK,SIP Trunk Video Mesh Peru,CAFPERDP001,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,Video Mesh Trunk Security Profile,NULL,NULL,NULL,Video Mesh SIP Profile,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,f,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,PERTTPR01.caf.com,,5060,,,,,,,,,,
SIP Trunk,SIP,PANTTPR01-SIP-TRUNK,SIP Trunk Video Mesh Panama,CAFPANDP001,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,Video Mesh Trunk Security Profile,NULL,NULL,NULL,Video Mesh SIP Profile,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,PANTTPR01.caf.com,,5060,,,,,,,,,,
SIP Trunk,SIP,SIP_TRUNK_V_CUCM,To CUCM 10.5,DP_Trunk,NULL,OffNet,CAFVENMRGL001,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,Non Secure SIP Trunk Profile,NULL,NULL,NULL,Standard SIP Profile + Early Offer + OPTION PING,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,NULL,Default,,f,711ulaw,Default,None(Default),f,NULL,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,10.200.15.13,,5060,10.200.160.19,,5060,10.200.15.12,,5060,10.200.160.30,,5060,
SIP Trunk,SIP,URUTTPR01-SIP-TRUNK,SIP Trunk Video Mesh Uruguay,CAFURUDP001,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,Video Mesh Trunk Security Profile,NULL,NULL,NULL,Video Mesh SIP Profile,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,uruttpr01.caf.com,,5060,,,,,,,,,,
SIP Trunk,SIP,VENTTPR13-SIP-TRUNK,SIP Trunk Video Mesh Venezuela,CAFVENDP001,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,Video Mesh Trunk Security Profile,NULL,NULL,NULL,Video Mesh SIP Profile,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,VENTTPR13.caf.com,,5060,,,,,,,,,,
SIP Trunk,SIP,ARGTTPR01-SIP-TRUNK,SIP Trunk Video Mesh Argentina,CAFARGDP001,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,Video Mesh Trunk Security Profile,NULL,NULL,NULL,Video Mesh SIP Profile,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,argttpr01.caf.com,,5060,,,,,,,,,,
SIP Trunk,SIP,NAPTTPR24-SIP-TRUNK,SIP Trunk to Expressway Core MRA/B2B Miami,DP_Expressway,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,t,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,SIP Trunk Profile for Expressway,NULL,NULL,NULL,Standard SIP Profile For Cisco Expressway B2B,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,t,Default,Default,t,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,vcs-interop,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,napttpr24.caf.com,,5061,,,,,,,,,,
SIP Trunk,SIP,NAPTTPR20-SIP-TRUNK,SIP Trunk IM and Presence Miami,CAFVENDP001,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,NULL,NULL,NULL,t,NULL,t,Standard Presence group,Non Secure SIP Trunk Profile for IMandP,NULL,NULL,NULL,Standard SIP Profile + OPTION PING,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,f,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,10.7.0.27,,5060,,,,,,,,,,
SIP Trunk,SIP,NAPTTPR25-SIP-TRUNK,SIP Trunk to Expressway Core Hybrid Calls Miami,DP_Expressway,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,t,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,SIP Trunk Profile for Cisco Hybrid Call Service,NULL,NULL,NULL,Standard SIP Profile For Cisco Hibrid Call Service,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,napttpr25.caf.com,,5061,,,,,,,,,,
SIP Trunk,SIP,COLTTPR01-SIP-TRUNK,SIP Trunk Video Mesh Colombia,CAFCOLDP001,NULL,Use System Default,NULL,Hub_None,NULL,None,0,f,t,f,f,f,Default,Default,Default,Default,Default,NULL,Off,t,t,Default,Default,CSS_Internas,NULL,NULL,t,NULL,t,Standard Presence group,Video Mesh Trunk Security Profile,NULL,NULL,NULL,Video Mesh SIP Profile,No Preference,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,t,t,f,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t,t,NULL,t,f,Default,NULL,-1,Trust All (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,f,Default,Default,f,Originator,,Default,,f,711ulaw,Default,None(Default),f,,Default,t,NULL,No Changes,No Changes,None,f,NULL,,f,f,When using both sRTP and TLS,,,,,,,f,f,f,colttpr01.caf.com,,5060,,,,,,,,,,
